"yearOfStart","CurrentState","sizeOfsite"
2013,"In",76
2014,"In",50
2010,"In",92.1
2011,"Out",106
2011,"Out",108.72
2011,"In",16.13
2012,"Out",0
2008,"Out",96.64
2009,"In",92.59
2008,"In",138.57
2013,"In",41
2010,"Out",28.71
2009,"Out",0
2010,"Out",0
2010,"In",33.75
2010,"Out",37.12
2014,"In",19.5
2013,"In",13.6
2012,"Out",6.6
2013,"In",43.5
2013,"In",184.5
2013,"In",132.88
2014,"In",91.8
2010,"In",109.83
2012,"Out",6.1
2010,"In",55.44
2010,"In",82.5
1990,"Out",63.51
2014,"In",66.14
2006,"Out",64.01
2010,"In",6.94
2012,"Out",0
2014,"In",13.2
2014,"In",19.82
2013,"In",30.14
2014,"In",83.28
2011,"In",34.98
2014,"In",19.8
2006,"Out",62.95
2007,"Out",35.02
2003,"Out",137.5
2012,"Out",108.4
2012,"Out",0
2012,"Out",30.3
2009,"In",58.03
2010,"Out",118.64
2014,"In",18.88
2010,"Out",46.04
2003,"Out",10.89
2012,"In",38.36
2014,"In",47
2014,"In",51.23
2013,"In",86.4
2014,"In",49.1
2005,"In",43.07
2013,"In",0
2012,"In",7
2008,"Out",112.2
2009,"Out",54
2011,"In",115.5
2014,"In",10.29
2012,"In",77
1994,"Out",130
2011,"Out",34.65
2014,"In",83.64
2013,"In",30.37
2011,"In",39.6
2010,"In",23.36
2014,"In",12.6
2012,"In",15.93
2010,"Out",7.74
2012,"Out",0
2013,"In",82.74
2012,"Out",64.29
2011,"In",76.03
2011,"In",82.09
2010,"Out",31.63
2014,"In",49.37
2014,"In",96.01
2014,"In",23.12
2013,"In",33
2009,"In",48.72
2014,"In",8.1
2012,"In",47.1
2013,"In",88.9
2010,"In",46.2
2014,"In",34.1
2013,"In",75.08
2013,"In",71.04
2014,"In",51.74
2014,"In",53.6
2008,"In",45
2014,"In",76.64
2014,"In",53.82
2014,"In",19.8
2006,"Out",46.8
2009,"Out",18.91
2003,"Out",61
2009,"Out",42.75
2014,"In",63.88
2013,"In",46
2011,"In",38.7
2011,"In",66.88
2012,"In",159.84
2012,"In",32.34
2013,"In",22.4
2014,"In",114
2013,"Out",78
2014,"Out",153.81
2013,"In",52.08
2013,"In",19.86
2013,"In",202.78
2011,"In",253.8
2013,"In",8.78
2003,"Out",0
2003,"Out",36.35
2000,"Out",65.72
2009,"In",21.54
2009,"In",10.84
2009,"In",14.31
2014,"In",30.53
2013,"In",85.5
2014,"In",52.8
2013,"Out",47.88
2008,"Out",28.56
2010,"In",15.9
2004,"Out",16.45
2004,"Out",16.48
2006,"Out",69.51
2012,"Out",41.98
2011,"Out",140.51
2010,"Out",77.4
2014,"In",56
2014,"In",21.78
2011,"Out",53.61
2009,"In",4.95
2014,"Out",94.98
2014,"In",52.2
2011,"Out",55.02
2000,"Out",0
2014,"Out",0
2012,"In",24
1972,"Out",75
2007,"Out",23.6
2012,"In",26.02
2013,"Out",29.53
2014,"In",29.53
2012,"Out",47.2
2010,"Out",46.63
2007,"Out",50.46
2008,"Out",54.22
2007,"Out",0
2008,"Out",49.86
2001,"In",102.15
2004,"Out",63.51
2012,"Out",25.6
2010,"In",265.76
2009,"Out",33.95
2011,"Out",33.67
2013,"In",43.52
2010,"Out",85.35
2011,"Out",16
2013,"In",37.05
2014,"In",35.31
2014,"In",59.17
2014,"In",27.52
2014,"In",32
2011,"Out",104.27
2013,"In",36.8
2011,"In",70.58
2009,"Out",11.55
2006,"Out",64.35
2013,"In",250.88
2003,"Out",98.54
2012,"In",25.9
2009,"In",52.15
2007,"In",42.7
2012,"In",14.34
2005,"Out",43.61
2014,"In",40.5
2012,"In",341.87
2014,"In",80.55
2014,"In",41.23
2012,"In",97.75
2011,"Out",10
2005,"Out",36.96
2012,"In",48.13
2011,"Out",97.28
2011,"In",97.28
2006,"Out",128.73
2011,"In",120
2009,"In",43.14
2013,"In",54.7
2003,"Out",13.2
2014,"In",198
2013,"In",35.14
2009,"Out",23.02
2009,"Out",23.02
2013,"In",58.24
2013,"In",285.83
2012,"In",53.4
2013,"In",202.88
2007,"In",60.08
2007,"Out",8.61
2012,"In",32.93
2003,"In",82.05
2003,"Out",39.65
2010,"In",40
2008,"Out",150.02
2014,"In",198
2012,"In",71.14
2010,"Out",26
2003,"Out",0
2013,"In",23
2013,"In",23.1
2014,"In",31.29
2011,"Out",4.4
2013,"Out",35.43
2011,"In",26.88
2014,"In",19.8
2014,"In",88.4
2012,"In",60.02
2012,"In",17.94
2014,"In",146.2
2011,"In",53.42
2010,"In",27.48
2013,"In",77.74
2013,"Out",27.54
2006,"In",47
2013,"In",44
2011,"In",76.57
2010,"Out",117.22
2002,"Out",22.02
2003,"Out",16
2013,"In",35.61
2014,"In",46.4
2012,"Out",60.55
2013,"In",37.84
2003,"In",4.6
2013,"In",40.66
2003,"Out",141.06
2014,"In",170.37
2010,"Out",32.85
2011,"Out",152
2011,"Out",99.8
2013,"In",97.4
2010,"In",171.12
2013,"In",28.42
2010,"Out",123
2011,"In",128.7
1985,"Out",132
2008,"In",50.75
2009,"Out",118
2013,"In",55.9
2009,"In",65
2013,"In",23.23
2014,"In",94.8
2011,"In",82.26
2013,"In",40.42
2011,"Out",17.49
2014,"In",36.02
2002,"Out",47.52
2014,"In",74.9
2014,"In",72.84
2013,"In",0
2004,"In",8.4
2010,"In",29.7
2011,"In",9.92
2010,"In",58.61
2013,"In",50.12
2014,"In",38.4
2014,"In",72.7
2011,"Out",34.2
2014,"In",46.62
2013,"In",41.71
2011,"In",34.65
2013,"In",17.1
2013,"In",36.28
2013,"In",37.82
2014,"In",26.52
2014,"In",22.09
2014,"In",20
2011,"Out",16
2011,"In",7.92
2014,"In",31.32
2014,"In",30.6
2014,"In",28.63
2013,"In",28.76
2014,"In",144.53
2010,"In",46.89
2010,"In",39.6
2012,"In",33
2009,"Out",66.8
2010,"Out",28.13
2011,"Out",44.25
2013,"In",36.4
2010,"Out",63.13
2012,"In",48
2011,"In",7.96
2014,"In",45.6
2013,"In",9.08
2012,"In",169.03
2009,"In",49.5
2014,"In",29.7
2014,"In",110.87
2011,"Out",214.5
2011,"In",102.06
2011,"In",199.5
2004,"Out",12.48
2011,"In",58.91
1999,"Out",57.14
2014,"In",32.67
2013,"In",112.7
2010,"Out",37.19
2011,"Out",138.46
2013,"In",120.06
2012,"In",88.78
2014,"In",32
2014,"In",39
2013,"Out",52.93
2012,"In",27.07
2013,"In",20
2014,"Out",0
2010,"In",15.6
2009,"In",26.45
2006,"Out",31.35
2011,"In",60.39
2012,"In",70
2014,"In",103.24
2014,"In",10.2
2011,"Out",11.84
2008,"Out",31.58
2013,"In",78.75
2011,"Out",76
2010,"In",7.55
2012,"Out",55.71
2012,"Out",17
2013,"In",289.59
2011,"In",25.88
2011,"Out",16.7
2013,"In",4.16
2014,"In",30
2011,"Out",58.88
2011,"In",74.24
2013,"In",35.38
2014,"In",124.31
2009,"Out",54
2010,"In",81.9
2014,"In",33.15
2007,"In",78.6
2010,"Out",132
2013,"Out",15.4
2011,"In",39.6
2014,"In",54.9
2005,"Out",0
2008,"In",78.39
2014,"In",1.8
2013,"In",8.99
2013,"In",105.64
2010,"Out",112.58
2014,"In",44
2014,"In",34.77
2013,"In",14.85
2006,"In",15.58
2014,"In",49
2003,"Out",55.98
2012,"In",91
2011,"In",33.6
2014,"In",71.36
2014,"In",102
2010,"In",38.5
2010,"In",22
2010,"In",51.58
2014,"In",50.47
2012,"In",45
2012,"In",35.11
2012,"In",83.9
2012,"Out",23.14
2011,"In",24
2003,"In",115
2011,"In",50.16
2013,"In",85.6
2013,"In",149.22
2012,"In",26.4
2014,"In",192.07
2009,"In",29.26
2013,"In",53.47
2011,"In",63.13
2012,"Out",36.41
2006,"In",23.68
2009,"Out",30.88
2013,"In",46.4
2011,"Out",58.46
2006,"Out",179.52
2010,"In",66
2013,"Out",25.2
2014,"In",47
2012,"In",16.28
2014,"In",38.34
2014,"In",26.89
2014,"In",28.68
2014,"In",37.38
2013,"In",8
2013,"Out",39
2014,"In",37.9
2011,"In",20.89
2014,"In",40.22
2013,"In",36.77
2013,"In",17.01
2014,"In",41
2014,"In",48
2009,"In",38.61
2014,"In",49.66
2014,"In",65.76
2009,"In",354.2
2011,"In",50.93
2010,"Out",0
2011,"In",262.32
2011,"In",66.96
2013,"In",95.25
2014,"In",19.62
2011,"Out",84.48
2013,"Out",57.78
2010,"Out",20.93
2010,"Out",13.2
2011,"In",78.01
2010,"Out",42.2
2012,"In",28.8
2012,"Out",26
2014,"In",33.9
2009,"Out",29.92
2008,"In",18
2013,"In",57.88
2014,"In",23
2014,"In",9.25
2010,"Out",94.58
2012,"In",59.93
2006,"Out",0
2011,"Out",81
2014,"In",16.45
2005,"Out",86.6
2005,"Out",86.6
2011,"In",48.37
2012,"In",20.46
2014,"In",9.9
2012,"Out",131.55
2010,"In",61.95
1997,"In",206
2011,"In",74.75
2011,"In",31.5
2010,"In",47.06
2013,"In",61.48
2011,"In",37.5
2009,"In",9.3
2010,"In",19.04
2014,"In",89.91
2009,"Out",30
2014,"In",50
2009,"Out",19.8
2006,"Out",42.14
2011,"In",74.3
2003,"Out",67
1998,"In",101.6
2014,"In",107.22
2013,"In",47.3
2014,"In",32.83
2011,"In",92.75
2014,"In",63.22
2014,"In",45.4
2014,"In",81.4
2011,"Out",75.24
2007,"Out",86.74
2008,"In",63
2012,"In",48.23
2009,"Out",28.67
2014,"In",79.45
1987,"In",0
2011,"Out",86.51
2013,"Out",55.3
2006,"In",79.23
2014,"In",131.6
2011,"Out",33
1995,"In",142
2003,"Out",4.64
2014,"In",27.3
2014,"In",27.3
2014,"In",62.34
2014,"In",72.5
2009,"In",100.1
2014,"Out",38.19
2003,"Out",108
2011,"Out",30
2014,"Out",93.88
2012,"In",101.93
2014,"In",115.9
2014,"In",107.33
2012,"In",81.26
2011,"In",41.25
2008,"In",30
2011,"In",13.64
2012,"In",35.5
2013,"In",68.6
2010,"In",23
2011,"Out",43.2
2010,"In",35.88
2010,"In",57.81
2011,"In",115.74
2011,"In",56
2009,"Out",55.68
2009,"Out",46.94
2010,"Out",87.66
2014,"In",41.6
2012,"Out",49.5
2014,"In",60
2010,"Out",58.69
2013,"In",27.59
2012,"Out",41.92
2013,"Out",48.39
2013,"Out",7.95
2013,"Out",64.68
2014,"In",64.98
2012,"Out",35.1
2012,"In",52.84
2011,"In",47.87
2014,"In",81.64
2012,"In",96
2012,"In",77.1
2012,"In",115.35
2011,"Out",37.2
2008,"In",85.06
2014,"In",59.5
2010,"Out",112.34
2012,"Out",8.88
2012,"Out",25.83
2011,"In",82.5
2012,"Out",15.79
2012,"In",11.34
2014,"In",381.27
2003,"Out",23.98
2010,"In",26.4
2003,"Out",62.7
2003,"Out",26.4
2014,"In",54.06
2011,"Out",62.69
2011,"In",30.26
2013,"In",64.85
2004,"In",5.4
2010,"In",37.34
2014,"In",21.56
2014,"In",46.78
2013,"In",26.16
1993,"In",136.32
2014,"In",98.4
2014,"In",31.12
2013,"In",54.08
2010,"In",132
2011,"In",98.19
2014,"In",33.89
2013,"In",36
2013,"Out",12
2013,"In",73.4
2014,"In",69.62
2011,"In",76.57
2013,"In",120.48
2014,"In",10
2014,"Out",8.26
2012,"In",88.92
2012,"In",38.84
2014,"In",76.26
2012,"Out",35.1
2014,"In",115
2014,"In",33
2014,"In",96.28
2014,"In",79.74
2014,"In",13.8
2011,"In",0
2014,"In",61.36
2013,"In",0
2010,"In",99.4
2009,"Out",0
2014,"In",90.65
2014,"Out",27.42
2012,"In",93.73
2013,"Out",0
2005,"Out",40
2014,"In",50.01
2013,"In",59.85
2014,"In",22.6
2014,"Out",6.6
2013,"Out",152.65
2013,"In",75.33
2014,"In",19
2013,"In",16.5
2012,"In",45.34
2014,"Out",6
2005,"In",6.48
2009,"In",46
2014,"In",59.63
2013,"In",59.65
2011,"Out",50
2007,"Out",0
2014,"Out",0
2011,"Out",38.86
2011,"In",18.47
2014,"In",21.87
2010,"Out",32.1
2013,"In",34.59
2014,"In",96.47
2014,"In",65.46
2014,"In",43.88
2013,"In",31.96
2010,"In",16.13
2009,"In",48.45
2008,"Out",15.68
2013,"Out",15.33
2012,"In",67.89
2014,"In",49.45
2011,"In",69.2
2011,"Out",0
2012,"In",80.94
2014,"In",39.6
2011,"In",103.18
2014,"In",102.47
2012,"Out",34
2011,"Out",32.66
2014,"In",33.4
2014,"Out",330.53
2012,"In",49.64
2013,"In",9.45
2013,"In",71.43
2013,"In",194.22
2010,"Out",20.16
2006,"In",6.9
2010,"Out",24.8
2011,"In",46.4
2014,"In",99.36
2010,"Out",104.48
2010,"Out",18.45
2011,"In",142.24
2004,"Out",31.46
2012,"Out",0
2012,"In",14.4
2007,"In",403.3
2014,"In",82.28
2013,"Out",51.03
2013,"In",25
2014,"In",26.62
2014,"In",23.17
2009,"In",23.42
2012,"In",103.54
2012,"In",41.62
2010,"Out",19.5
2010,"Out",63.64
2014,"In",8.42
2013,"In",13.58
2004,"Out",33
2008,"In",38.7
2012,"In",93.02
2012,"Out",28.72
2013,"Out",52.64
2011,"In",33.7
2012,"In",38.1
2013,"Out",13.2
2011,"Out",13.2
2011,"Out",14.72
2013,"In",40.13
2012,"Out",60
2008,"Out",120.95
2014,"In",22.55
2014,"In",92.31
2014,"In",11.27
1996,"Out",312.58
1976,"Out",100
2014,"In",56.1
2007,"Out",12.6
2009,"In",244.17
2014,"In",83.22
2012,"Out",0
2014,"In",41
2014,"Out",0
2014,"In",135.68
2012,"In",45.58
2013,"Out",71.79
2014,"In",53.88
2007,"In",31.73
2010,"In",95.63
2011,"In",17.69
2014,"In",99.75
2014,"In",0
2013,"In",62.05
2013,"In",48
2013,"In",298.17
2014,"In",29.64
2006,"Out",193.87
2013,"Out",84.49
2012,"In",82.29
2012,"In",44.64
2014,"In",39.6
2013,"In",57.05
2013,"Out",0
2014,"In",69.87
1979,"Out",0
2004,"In",0
2006,"In",26.22
2014,"In",67.08
2012,"In",23.28
2010,"Out",57.51
2011,"Out",165
2011,"In",138.32
2010,"Out",90.48
2011,"In",121.38
2014,"In",67.5
2014,"In",23.18
2014,"In",51.7
2012,"In",29.7
2009,"In",140.77
1993,"In",150.99
2012,"In",128.78
2014,"In",54.12
2013,"In",124.39
2014,"In",81.07
2006,"Out",92.16
2014,"In",48.26
2010,"In",63.64
2010,"In",43.2
1994,"Out",49.2
2008,"Out",26.02
2010,"In",44.87
2009,"Out",56.08
2014,"Out",63.18
2003,"Out",142.3
2008,"Out",10.5
2009,"In",19.8
2008,"Out",14.8
2003,"Out",105.78
2009,"Out",22.23
2011,"In",7.3
2011,"In",23.14
2010,"Out",39.52
2003,"Out",33.5
2013,"In",75
2014,"In",26.4
2014,"Out",26.4
2010,"Out",48
2013,"Out",34.95
2012,"Out",21.84
2014,"In",35.42
2009,"In",96.8
2010,"Out",24
1995,"In",62.16
2012,"In",84.36
2014,"In",30.88
2014,"In",0
2014,"In",310.84
2012,"Out",55.48
2014,"In",40.08
2008,"Out",92.45
2013,"In",12.6
2011,"In",97.92
2009,"In",158.54
2009,"In",51.57
2010,"In",33
2012,"In",97.27
2012,"Out",108.08
2012,"In",89.11
2014,"In",54
2014,"In",75.01
2012,"In",26.68
2014,"In",25.44
2010,"Out",18
2014,"In",57.96
2012,"Out",45.04
2006,"In",42.9
2010,"In",51.75
2014,"In",20.94
2009,"Out",10.25
2012,"In",92.89
2010,"In",48.76
2013,"In",110.25
2011,"Out",22.4
2013,"In",34.44
2014,"In",32.85
2012,"In",43.22
2014,"In",57.58
2014,"In",46.86
2013,"In",125.4
2014,"In",69.5
2013,"In",14.19
2010,"Out",24.69
2003,"Out",15.93
2001,"In",290.52
2007,"Out",99.45
2001,"Out",8.9
2003,"Out",239.2
2002,"Out",114.69
2014,"In",17.1
2013,"Out",10.01
2011,"In",38
2007,"Out",78.25
2008,"Out",0
2005,"Out",16.82
2014,"In",71.84
2011,"Out",8.6
2010,"Out",26.97
2011,"Out",6.6
2009,"Out",2.8
2013,"In",153.26
2008,"In",68.99
2010,"In",40
2013,"In",49.3
2010,"In",184.77
2014,"In",80
2007,"Out",50.4
2013,"In",24.74
2007,"Out",63.38
2011,"In",298.68
2013,"In",5.28
2008,"Out",17.1
2009,"Out",33
2011,"Out",5.22
2011,"In",5.22
2012,"In",43.3
2004,"In",31.8
2011,"Out",32.09
2004,"Out",50.49
2003,"Out",0
2014,"In",48.3
2012,"In",95.53
2010,"Out",19.09
2011,"Out",116.96
2012,"Out",33.05
2014,"In",182.12
2011,"Out",41.62
2014,"In",31.37
2006,"Out",8.3
2009,"In",24.9
2014,"In",34
2014,"In",41
2011,"Out",107.73
2014,"In",52
2003,"Out",52.8
2008,"Out",59.41
2009,"Out",32.68
2010,"In",27.02
2011,"Out",19.8
2002,"Out",8.58
2013,"In",10.08
2013,"In",42.26
2013,"In",115.2
2014,"In",42.9
2013,"Out",43.92
2013,"In",21.78
2014,"In",0
2013,"In",26.25
2005,"Out",98.8
2012,"In",56
2014,"In",18.6
2014,"In",109.02
2006,"Out",0
2008,"In",76.2
2013,"In",12.8
2013,"In",21
2012,"In",16.56
2012,"In",37.02
2014,"In",56.48
2012,"In",22
2007,"In",90.6
2013,"Out",14
2009,"Out",106.1
2011,"Out",34.98
2011,"Out",74.7
2013,"In",19.48
2013,"In",219.24
2013,"In",29.64
2010,"In",9.9
2014,"In",144
2013,"Out",28.52
2012,"Out",113.34
2003,"Out",42
2003,"Out",13
2003,"Out",0
2002,"In",96
2008,"Out",26.4
2004,"Out",79.06
2008,"In",119.96
2007,"Out",26.4
2004,"Out",28
2005,"Out",34.92
2005,"Out",13.2
2013,"Out",44
2014,"In",203.3
2014,"In",105
2014,"In",89.7
2013,"Out",207.13
2010,"Out",0
2010,"Out",96.6
2007,"In",35
2012,"In",115.74
2011,"Out",226.28
2011,"Out",0
2010,"Out",27.34
2001,"In",17.55
2010,"Out",7.29
2011,"In",8
2007,"Out",55.98
2011,"In",41.31
2006,"Out",34.71
2002,"Out",75.5
2009,"Out",22.75
2005,"Out",75.5
2006,"Out",24.47
2001,"Out",30
2007,"Out",75.5
2005,"In",76.87
2012,"In",29.76
2014,"In",21.17
2011,"In",23.8
2014,"In",9.62
2010,"Out",64.56
2009,"In",40
2011,"Out",62.36
2003,"Out",82.5
2002,"Out",7.59
2004,"Out",8.64
2009,"Out",23.1
2005,"Out",22.75
2013,"Out",36.94
2014,"In",10.2
2011,"In",200.12
2002,"Out",46.2
2010,"Out",19.8
2011,"Out",28
2013,"In",62.76
2014,"In",54.87
2012,"Out",40
2012,"In",28.86
2000,"Out",97.56
2003,"Out",8.25
2012,"In",26.45
2014,"In",49.52
2012,"In",67
2006,"In",38.5
2008,"In",51.36
2007,"Out",59.25
2004,"Out",38.52
2014,"In",21.6
2011,"In",60
2010,"Out",45.8
2009,"In",15.3
2009,"In",80.72
2007,"Out",12
2005,"Out",126.89
2008,"Out",29.7
2005,"In",28.67
2003,"Out",51.35
2011,"Out",23
2002,"Out",7.29
2009,"Out",18.5
2003,"In",35
2006,"Out",45
2006,"Out",29.88
2002,"Out",35.9
2011,"In",76.98
2010,"In",33.07
2005,"Out",17.8
2013,"Out",37.82
2011,"In",15.4
2003,"In",28.09
2002,"Out",32.5
2004,"Out",19.95
2002,"Out",28.08
2014,"Out",10
2008,"Out",44.98
2014,"In",56
2009,"Out",20.16
2009,"Out",60.27
2013,"In",20.55
2011,"In",234.03
2002,"Out",40.3
2008,"Out",29.22
2007,"In",67.98
2004,"Out",0
2010,"Out",75.85
2011,"Out",66
2014,"In",15.05
2006,"Out",66
2014,"Out",64.03
2014,"Out",42.4
2014,"Out",22.78
2011,"In",10.8
2009,"Out",65.99
2009,"Out",23.5
2008,"In",71.92
2014,"In",13.86
2013,"In",106.84
2007,"Out",57.5
2014,"In",55.25
2013,"In",25
2014,"In",37.36
2013,"In",54.55
2009,"In",29.6
1998,"In",17.98
2010,"Out",33
2014,"In",26.45
2009,"In",68.66
2009,"In",50.55
2012,"In",74.25
2010,"In",75.75
2013,"In",42.9
2012,"In",58
2014,"In",28.56
2013,"In",51.6
2007,"Out",22.77
2010,"Out",292.09
2014,"In",40.5
2008,"Out",91.3
2009,"Out",42.18
1991,"Out",0
2013,"In",36.9
2013,"In",60.38
2014,"In",21
2012,"In",31.2
2014,"In",134.7
2011,"Out",75.04
2013,"Out",230.9
2012,"In",230.1
2013,"In",28.7
2014,"In",9.6
2013,"In",83.55
2010,"Out",128.75
2013,"In",36
2014,"In",14.85
1994,"Out",0
2013,"Out",32.4
2001,"Out",29.7
2008,"Out",44.55
2013,"In",21.19
2014,"In",33
2014,"In",9.07
2014,"In",128.7
2012,"In",157.06
2014,"Out",98.04
2013,"In",133.84
2012,"In",32
2013,"In",79.21
2014,"In",88.41
2012,"Out",163
2009,"Out",33
2013,"In",37.13
2014,"In",85.22
2009,"In",58.9
2014,"In",39.92
2012,"In",33
2014,"In",14.11
2011,"In",60
2014,"In",15
2014,"In",61.33
2013,"In",24
2014,"In",13.5
2008,"Out",90.4
2012,"Out",62.74
2013,"In",366.72
2010,"Out",49.5
2012,"In",100
2014,"In",80
2014,"In",285.46
2014,"In",89.36
2011,"Out",19.76
2013,"Out",100
2010,"Out",48.35
2010,"In",49.5
2012,"In",1.98
2010,"Out",20.05
2006,"In",16.5
2008,"Out",36
2014,"Out",75.68
2012,"Out",224.64
2009,"Out",8.63
2011,"Out",39
2014,"In",159.6
2011,"In",24
2014,"In",106.92
2009,"Out",44.31
2010,"In",131.89
2006,"In",27.69
2013,"In",34.1
2003,"Out",6
2005,"In",40
2014,"In",39.46
2014,"In",99.16
2008,"Out",105.46
2014,"In",37.15
2014,"In",40
2010,"In",123.01
2014,"In",30.36
2013,"In",44.78
2012,"In",156.32
2012,"In",81.53
2014,"In",0
2011,"In",5.13
2012,"Out",41.83
2011,"Out",18.2
2009,"In",48.5
2012,"In",22.62
2011,"In",4.8
2014,"In",15
2007,"Out",34.78
2014,"In",110.92
2006,"Out",52.8
2014,"In",73.5
2013,"In",14.85
2010,"In",66
2012,"Out",25.46
2013,"Out",69.3
2006,"Out",85.4
2010,"In",98
2014,"In",19.83
2010,"Out",170.18
2008,"Out",60.04
2007,"Out",78.6
2012,"In",81.88
2010,"In",67.15
2012,"In",56.39
2013,"In",40.59
2013,"In",85
2010,"Out",62.16
2014,"In",51.41
2013,"Out",11.71
2012,"In",185.76
2014,"Out",23.12
2013,"In",29.5
2011,"In",139.78
2014,"In",109.95
1997,"Out",178.87
2009,"Out",0
2014,"In",23.15
2009,"Out",59.22
2004,"In",23.1
2007,"In",31.97
2003,"Out",85.34
2006,"Out",42.74
2003,"Out",54.6
2014,"Out",77.64
2011,"In",6.6
2012,"Out",0
2012,"Out",0
2005,"Out",22.13
2012,"Out",198.36
2005,"In",40.7
2012,"Out",20.7
2013,"In",21.42
2011,"Out",3.3
2014,"In",70
2012,"Out",58.89
2010,"In",250
2006,"Out",256.61
2010,"Out",20.16
2011,"In",22.04
2006,"In",9.9
2010,"Out",36.25
2012,"Out",94
2009,"In",164
2002,"Out",7
2006,"In",17.02
2003,"Out",139
2010,"In",16.52
2014,"Out",81
2014,"In",292.3
2014,"In",178.38
2013,"Out",66
2007,"In",42.51
2013,"In",74
2010,"In",100.05
2014,"Out",1.5
2009,"In",83.64
2014,"In",244.06
2003,"In",18.9
2011,"In",66.8
2011,"In",195
2008,"In",160.25
2014,"In",349.52
2013,"In",269.18
2008,"Out",63.71
2012,"In",368.55
2011,"In",23.1
2013,"Out",10
2013,"In",119
2012,"In",299.23
2012,"In",170.9
2012,"In",157.44
2010,"In",109.99
2013,"Out",0
2007,"In",123.49
2008,"In",211.69
2009,"In",80.3
2012,"In",224.1
2012,"In",253.61
2011,"In",164.7
2012,"Out",538.2
2010,"In",399.59
2011,"In",77.6
2011,"In",65.75
2012,"In",163.8
2014,"Out",0
2012,"In",230
2010,"In",127.44
2012,"In",156.6
2008,"In",150
2010,"In",90
2010,"In",134.47
2010,"In",202.68
2011,"In",278.28
2008,"Out",63.2
2009,"In",249.44
2014,"In",68.11
2003,"In",23.8
2007,"In",58.8
2012,"In",147.83
2013,"In",29.8
2012,"Out",98
2011,"Out",98
2012,"In",404.43
2006,"In",396
2013,"In",70.29
2008,"In",175.46
2011,"In",158.34
2009,"Out",122.79
2011,"In",294.2
2012,"In",84.38
2013,"In",37
2014,"In",240.5
2008,"In",96
2007,"In",189.72
2008,"Out",125.96
2013,"In",148.81
2010,"Out",371.86
2009,"In",337.8
2014,"In",264
2013,"In",237.12
2008,"In",109.2
2011,"In",185.19
2011,"In",103.7
2013,"In",222.14
2014,"In",135.6
2011,"In",121.9
2011,"In",119.97
2013,"In",352.23
2013,"In",508.35
2013,"In",337.56
2011,"In",338.23
2010,"Out",140
2011,"In",122.84
2013,"In",408.62
2007,"In",76.89
2009,"In",142.25
2014,"In",237.59
2012,"In",196.76
2013,"In",352.6
2012,"In",270
2006,"In",494.2
2012,"In",202
2011,"In",100.69
2009,"Out",162.25
2013,"In",52.8
2014,"In",86.3
2012,"In",526.21
2011,"In",539
2009,"Out",221
2011,"In",383.47
2010,"Out",107.93
2009,"In",124.64
2013,"In",123.94
2012,"In",291.2
2013,"Out",12
2012,"In",279.7
2012,"In",301
2012,"In",90
2012,"In",137
2010,"Out",257.2
2013,"In",307.89
2013,"In",275.63
2008,"In",150
2011,"In",123.36
2011,"In",260
2011,"In",367.8
2012,"In",228.92
2014,"In",350.4
2007,"In",777.11
2008,"In",132.21
2013,"In",256.65
2013,"In",0
2014,"In",404.86
2013,"In",324.52
2012,"In",118.54
2009,"In",117.49
2013,"In",468.28
2011,"Out",135.3
2014,"In",133.46
2012,"In",217.92
2011,"In",73.26
2013,"In",577.31
2012,"In",506.72
2012,"Out",0
2011,"In",88
2014,"In",58.11
2013,"In",84.15
2012,"In",14.5
2011,"In",263.44
2011,"In",97.71
2011,"In",40.26
2010,"In",138
2013,"In",132.3
2012,"In",89.1
2014,"In",232.85
2011,"In",35
2012,"In",8.91
2013,"In",50
2011,"In",139.65
2012,"In",326.7
2013,"In",201.5
2011,"In",186.23
2014,"In",142.04
2014,"In",151.35
2014,"In",340.2
2009,"In",120.41
2014,"In",310
2010,"Out",89.1
2014,"In",209.8
2012,"In",249.69
2012,"In",206.2
2012,"In",155
2014,"In",201.17
2013,"In",566.28
2014,"In",325
2012,"In",294.6
2014,"In",668.84
2011,"In",196.29
2013,"In",287.2
2013,"In",465.61
NA,NA,NA
2011,"In",281.54
2010,"In",103.49
2013,"In",288.04
2013,"In",217.56
2006,"In",88.26
2011,"In",148.2
2013,"In",59.4
2011,"In",272.09
2013,"In",143.88
2011,"In",285
2008,"Out",205.6
2014,"In",398.41
2014,"In",234.57
2011,"In",173.89
2013,"In",178.2
2011,"In",285.66
2012,"In",287.28
2014,"In",90.82
2011,"In",60
2013,"In",253.67
2014,"In",148
2007,"In",144.8
2008,"Out",198.96
2014,"In",151.8
2012,"In",162.36
2010,"In",303.72
2012,"In",297
2014,"In",459.66
2012,"In",162.5
2013,"In",331.1
2013,"In",194.49
2010,"In",144.32
2012,"In",238.86
2014,"In",62
2012,"In",29
2011,"Out",220.9
2014,"In",239.76
2010,"In",184.14
2013,"In",325.92
2011,"In",182.3
2011,"In",9.6
2014,"In",293
2010,"In",338.92
2013,"In",111.13
2011,"In",26.26
2011,"In",177.35
2011,"In",146.33
2014,"In",439.14
2014,"In",379.5
2014,"In",172.32
2014,"In",126.61
2010,"In",650.19
2013,"In",417.4
2007,"In",215.8
2013,"In",320.64
2009,"In",150.93
2014,"In",405
2012,"In",234.09
2014,"In",268
2012,"In",275.4
2012,"In",279.4
2009,"In",329.5
2012,"In",83.12
2010,"In",143.67
